url,people,rate,type
https://leetcode.cn/problems/reverse-linked-list,12315,0.739,easy
https://leetcode.cn/problems/contains-duplicate,3906,0.551,easy
https://leetcode.cn/problems/contains-duplicate-ii,1998,0.456,easy
https://leetcode.cn/problems/count-complete-tree-nodes,2018,0.813,easy
https://leetcode.cn/problems/implement-stack-using-queues,5754,0.653,easy
https://leetcode.cn/problems/invert-binary-tree,4636,0.8,easy
https://leetcode.cn/problems/summary-ranges,1374,0.549,easy
https://leetcode.cn/problems/power-of-two,2274,0.498,easy
https://leetcode.cn/problems/implement-queue-using-stacks,2559,0.678,easy
https://leetcode.cn/problems/palindrome-linked-list,3855,0.539,easy
https://leetcode.cn/problems/valid-anagram,3920,0.662,easy
https://leetcode.cn/problems/shortest-word-distance,191,0.669,easy
https://leetcode.cn/problems/strobogrammatic-number,182,0.474,easy
https://leetcode.cn/problems/meeting-rooms,252,0.582,easy
https://leetcode.cn/problems/binary-tree-paths,2176,0.707,easy
https://leetcode.cn/problems/add-digits,1501,0.706,easy
https://leetcode.cn/problems/ugly-number,1224,0.503,easy
https://leetcode.cn/problems/palindrome-permutation,204,0.709,easy
https://leetcode.cn/problems/missing-number,2493,0.668,easy
https://leetcode.cn/problems/closest-binary-search-tree-value,224,0.542,easy
https://leetcode.cn/problems/first-bad-version,2613,0.455,easy
https://leetcode.cn/problems/move-zeroes,7352,0.635,easy
https://leetcode.cn/problems/word-pattern,1895,0.446,easy
https://leetcode.cn/problems/nim-game,1128,0.704,easy
https://leetcode.cn/problems/flip-game,129,0.728,easy
https://leetcode.cn/problems/range-sum-query-immutable,2271,0.773,easy
https://leetcode.cn/problems/power-of-three,1002,0.512,easy
https://leetcode.cn/problems/counting-bits,2353,0.787,easy
https://leetcode.cn/problems/power-of-four,1169,0.531,easy
https://leetcode.cn/problems/reverse-string,4016,0.8,easy
https://leetcode.cn/problems/reverse-vowels-of-a-string,1590,0.547,easy
https://leetcode.cn/problems/moving-average-from-data-stream,217,0.729,easy
https://leetcode.cn/problems/intersection-of-two-arrays,3287,0.743,easy
https://leetcode.cn/problems/intersection-of-two-arrays-ii,2961,0.574,easy
https://leetcode.cn/problems/logger-rate-limiter,109,0.751,easy
https://leetcode.cn/problems/valid-perfect-square,1816,0.449,easy
https://leetcode.cn/problems/guess-number-higher-or-lower,1095,0.523,easy
https://leetcode.cn/problems/ransom-note,3425,0.631,easy
https://leetcode.cn/problems/first-unique-character-in-a-string,2275,0.562,easy
https://leetcode.cn/problems/find-the-difference,1820,0.652,easy
https://leetcode.cn/problems/is-subsequence,3115,0.523,easy
https://leetcode.cn/problems/binary-watch,922,0.628,easy
https://leetcode.cn/problems/sum-of-left-leaves,2264,0.626,easy
https://leetcode.cn/problems/convert-a-number-to-hexadecimal,662,0.548,easy
https://leetcode.cn/problems/valid-word-abbreviation,127,0.359,easy
https://leetcode.cn/problems/longest-palindrome,2163,0.557,easy
https://leetcode.cn/problems/fizz-buzz,1350,0.692,easy
https://leetcode.cn/problems/third-maximum-number,1820,0.4,easy
https://leetcode.cn/problems/add-strings,1974,0.546,easy
https://leetcode.cn/problems/valid-word-square,112,0.441,easy
https://leetcode.cn/problems/number-of-segments-in-a-string,1214,0.383,easy
https://leetcode.cn/problems/arranging-coins,1177,0.451,easy
https://leetcode.cn/problems/find-all-numbers-disappeared-in-an-array,2050,0.658,easy
https://leetcode.cn/problems/assign-cookies,2502,0.562,easy
https://leetcode.cn/problems/repeated-substring-pattern,1490,0.514,easy
https://leetcode.cn/problems/hamming-distance,2149,0.818,easy
https://leetcode.cn/problems/island-perimeter,1542,0.701,easy
https://leetcode.cn/problems/number-complement,1143,0.695,easy
https://leetcode.cn/problems/license-key-formatting,628,0.468,easy
https://leetcode.cn/problems/max-consecutive-ones,1754,0.611,easy
https://leetcode.cn/problems/construct-the-rectangle,559,0.616,easy
https://leetcode.cn/problems/teemo-attacking,1350,0.593,easy
https://leetcode.cn/problems/next-greater-element-i,2568,0.719,easy
https://leetcode.cn/problems/keyboard-row,1089,0.74,easy
https://leetcode.cn/problems/find-mode-in-binary-search-tree,1197,0.55,easy
https://leetcode.cn/problems/base-7,874,0.518,easy
https://leetcode.cn/problems/relative-ranks,1036,0.654,easy
https://leetcode.cn/problems/perfect-number,598,0.491,easy
